datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
20090102,DIA,90.2,87.95,90.62,87.57,24563770.0,0.0,0.0,66.66666666667224,100.0,0.0
20090105,DIA,89.7,89.87,90.33,88.87,25611230.0,-0.011217948717956006,0.0,66.66666666667224,100.0,0.0
20090106,DIA,90.15,90.18,90.9,89.38,37258790.0,-0.00033942020836263964,48.21428571428588,100.00000000000179,100.0,0.0
20090107,DIA,87.86,88.88,89.18,87.23,33164670.0,-0.07806291164013146,13.626870866689927,-133.33333333333258,60.2548689588838,0.0
20090108,DIA,87.43,87.07,87.57,86.55,23640660.0,-0.135763963147582,11.960243134197924,-113.173600140425,68.72688129953971,0.0
20090109,DIA,86.14,87.67,87.76,85.84,24492540.0,-0.2230593644538743,8.669571168231613,-104.81347773766663,74.73719732818196,0.0
20090112,DIA,84.79,85.77,86.02,84.26,22621460.0,-0.33635791075126065,6.679898050315401,-132.70002111040765,82.66324100365925,0.0
20090113,DIA,84.42,84.61,85.29,83.83,29846420.0,-0.42451700516575386,6.271797344804668,-116.5280747604339,84.11329393688331,0.0
20090114,DIA,82.08,83.16,83.36,81.48,38850570.0,-0.5952022306723563,4.4808132018413716,-147.2363368372055,89.32795991033922,0.0
20090115,DIA,82.18,82.07,82.98,80.04,44208930.0,-0.7024712989284154,5.671642186958408,-128.37410280052808,91.21647264778403,0.0
20090116,DIA,82.69,83.22,83.4,81.03,37610380.0,-0.7429635054407413,11.49306967027512,-93.95020516030363,81.218204333936,0.0
20090120,DIA,79.41,82.21,82.41,79.36,36883180.0,-0.9427160418363485,8.147672383544915,-120.3197442046364,84.63335211500834,0.0
20090121,DIA,82.24,80.65,82.41,79.35,34823870.0,-0.9184908973665955,27.090043767182706,-88.59226087954985,84.65121672619945,0.0
20090122,DIA,81.16,80.9,82.04,79.55,40157340.0,-0.9510214390511607,25.050551559776324,-89.08388175075751,84.65121672619946,0.0
20090123,DIA,80.52,79.5,81.53,79.05,44699430.0,-1.001398853991887,23.94541927906431,-91.85774050638906,85.60721408095029,0.0
20090126,DIA,81.07,80.86,82.29,80.19,28917060.0,-0.9936811130936576,26.815677701947365,-69.70524866173562,68.54961917860552,0.0
20090127,DIA,81.51,81.49,82.24,80.8,23344490.0,-0.9482345552817861,29.032190621903894,-59.32097618959185,68.54961917860551,0.0
20090128,DIA,83.679,83.04,84.04,82.59,21073290.0,-0.7650339538765962,38.52663075899797,-17.85179609648897,34.97800312238844,0.0
20090129,DIA,81.53,82.58,82.94,81.351,20820790.0,-0.7527930783085139,33.88081549797843,-49.596066945430216,43.28935310693676,0.0
20090130,DIA,80.08,81.83,81.96,79.6,26170930.0,-0.8287916217790041,31.25047276278076,-77.44042311590714,52.467950915371894,0.0
20090202,DIA,79.32,79.14,79.92,78.65,22965670.0,-0.9278577972345516,29.988131608984176,-99.96304527467105,56.546774427538,0.0
20090203,DIA,80.63,79.78,81.1,79.02,24066690.0,-0.9056301914226026,34.692124588501215,-75.31768523662011,40.53448665148602,0.0
20090204,DIA,79.69,80.8,81.71,79.34,27483900.0,-0.941516936385284,33.0440817373555,-72.73699070950632,33.016094421985315,0.0
20090205,DIA,80.55,79.26,81.15,78.5,39862900.0,-0.8991541104725371,35.924931028115594,-74.08780533213267,37.90604569930664,0.0
20090206,DIA,82.86,80.87,83.27,80.72,30039970.0,-0.6950808333331366,42.76738583028719,-22.62500945223998,15.214613667319435,0.0
20090209,DIA,82.75,82.8,83.29,82.1,20792690.0,-0.5357981347241321,42.54358540635679,-12.315140975635543,15.023749698301092,0.0
20090210,DIA,79.19,82.23,82.73,78.61,48977520.0,-0.6577737621046538,36.2012110917782,-72.76313727658982,35.08367939100547,0.0
20090211,DIA,79.55,79.62,80.01,78.68,33242360.0,-0.7194735244521127,37.18089347077901,-88.84874039044449,35.08367939100547,0.0
20090212,DIA,79.5,78.43,79.62,77.15,45456300.0,-0.7628510307345806,37.09904203197378,-101.69943938135575,41.94863417609254,0.0
20090213,DIA,78.55,79.48,79.95,78.47,23843250.0,-0.856858806503169,35.56035789263652,-93.05342808594696,38.57001491647633,0.0
20090217,DIA,75.75,76.6,77.06,75.72,36712230.0,-1.125138289726479,31.56830955640244,-163.13313465605856,49.316308966773306,0.0
20090218,DIA,75.76,76.25,76.49,75.09,35772700.0,-1.3210051201139805,31.59668038839429,-171.27958664184507,51.39840328534916,0.0
20090219,DIA,75.03,76.43,76.5,74.8,30916910.0,-1.5128944234561317,30.637470115790762,-178.51845831894167,52.361372817439246,0.0
20090220,DIA,73.73,73.32,74.71,72.48,46335670.0,-1.7422673549683623,29.01478069287043,-219.23859934853368,59.263723518433444,0.0
20090223,DIA,71.15,74.24,74.41,71.07,35999680.0,-2.094666282877995,26.16919021379266,-240.5436222589844,62.76837325155189,0.0
20090224,DIA,73.38,71.57,73.8,71.15,37511030.0,-2.1785053255471354,32.12160372263732,-196.12071617547463,62.768373251551914,0.0
20090225,DIA,72.67,73.03,74.05,71.56,43144350.0,-2.2726645998665447,31.290706004257103,-172.8074102131466,59.97983363602458,0.0
20090226,DIA,71.84,73.48,74.07,71.76,31363530.0,-2.3831671593953843,30.34156375259529,-156.7678446935161,59.74579373264795,0.0
20090227,DIA,70.76,70.63,72.0,70.37,35765730.0,-2.5244889677950226,29.15130109736259,-167.0118429496529,63.69196487843881,0.0
20090302,DIA,67.83,69.65,69.82,67.59,36918110.0,-2.829949829247056,26.260159698740395,-190.55627425614554,69.98304210833295,0.0
20090303,DIA,67.21,68.48,68.6,67.09,30797450.0,-3.084112795002042,25.70216707541465,-178.19327089184767,70.9507539150643,0.0
20090304,DIA,68.77,68.35,69.88,67.63,31984550.0,-3.127814473330133,29.596061865269903,-140.7565930746329,57.091621401915916,0.0
20090305,DIA,66.07,67.5,68.05,65.53,35041660.0,-3.3342990098508807,27.05712374187486,-157.53379313154474,62.43290525084284,0.0
20090306,DIA,66.5,66.54,67.63,64.78,35832630.0,-3.4245502090825397,28.073685911284784,-145.54730178917248,64.13723261891509,0.0
20090309,DIA,65.44,65.51,67.17,65.25,28108290.0,-3.538115219131541,27.110201973166667,-136.75063434318702,64.13723261891508,0.0
20090310,DIA,69.14,66.62,69.23,66.54,30999490.0,-3.299316919754631,35.147183989997345,-96.5682469951181,43.67883749740555,0.0
20090311,DIA,69.48,69.69,70.32,68.82,21875080.0,-3.0481082882277093,35.81989283422725,-74.19409705748018,34.21660371911675,0.0
20090312,DIA,71.77,69.38,71.99,68.85,21931650.0,-2.6380372632809213,40.14575872075502,-52.17287856425193,21.14958622372956,0.0
20090313,DIA,72.32,72.19,72.59,71.2,21834020.0,-2.2437686515696385,41.13159622737898,-32.70152151252231,16.78293903701564,0.0
20090316,DIA,72.31,72.97,74.07,72.2,24508520.0,-1.9101009683966907,41.11885791138961,-17.962538270799705,6.647320063282806,0.0
20090317,DIA,74.08,72.29,74.12,71.86,20439270.0,-1.4883164530493644,44.27862314530813,-7.953799163964623,8.595457323236412,0.0
20090318,DIA,74.97,73.49,75.89,72.72,35894700.0,-1.0711485059075443,45.79177927311112,14.1352163152604,2.703725117450749,0.0
20090319,DIA,74.11,75.83,75.87,73.83,25409750.0,-0.7996769012750917,44.58160123789601,19.553690220827818,2.7037251174507526,0.0
20090320,DIA,72.74,74.43,74.56,72.53,22995620.0,-0.6855965115289138,42.721019604562755,0.3714879857882009,5.544492767757102,0.0
20090323,DIA,77.76,74.55,77.78,74.17,25706160.0,-0.19334619887094107,50.54471887032675,69.39144671692846,12.963227340307714,0.0
20090324,DIA,76.7,76.91,77.95,76.44,20383410.0,0.1109521584616715,49.08035184116548,87.50719901110148,13.816131195217881,0.0
20090325,DIA,77.41,77.25,78.62,75.48,30258790.0,0.40403849288787796,50.0824339271022,95.63198374691612,7.459484707438278,0.0
20090326,DIA,79.1,78.18,79.3,77.52,29400900.0,0.7623882034304899,52.389561950110675,129.18053883312876,11.214134612104349,0.0
20090327,DIA,77.81,78.14,78.42,77.33,19993900.0,0.932517900060688,50.544879070369575,113.56020955279492,9.882532185421148,0.0
20090330,DIA,75.25,76.09,76.12,74.37,25791240.0,0.8528076104441311,47.13752520069606,60.830451944554845,8.385108782739115,0.0
20090331,DIA,75.84,76.04,77.23,75.2026,28172820.0,0.8272978278632763,47.97370236302052,80.33827706790014,1.6133783317366959,0.0
20090401,DIA,77.53,74.88,77.87,74.8,25416430.0,0.9316280284460419,50.30307145784894,93.4780358694658,2.1544559092314435,0.0
20090402,DIA,79.71,79.38,80.76,78.98,30167630.0,1.1753667648835346,53.10486557374217,153.65293455677266,17.008829797522434,0.0
20090403,DIA,80.16,79.76,80.19,78.96,20617020.0,1.3885584931275048,53.66271441687663,138.58672350087332,16.877567406398267,0.0
20090406,DIA,79.76,79.46,79.93,78.6,17832600.0,1.5080251877117519,53.08207385920076,119.79281993681887,14.408036818784831,0.0
20090407,DIA,77.89,78.74,78.74,77.69,17315160.0,1.436104544285655,50.44248621250268,87.15355325694188,8.22888295774496,0.0
20090408,DIA,78.37,78.18,78.94,77.57,15708010.0,1.4014661712920855,51.08832427267058,83.88561995193392,9.378768817327007,0.0
20090409,DIA,80.89,80.01,80.92,79.7601,19287250.0,1.5583746465306092,54.32135545309554,113.39255998061714,19.98840591121282,0.0
20090413,DIA,80.55,80.03,81.18,79.69,11984410.0,1.6365306248839318,53.824784531889385,104.91661866202415,21.28205407801271,0.0
20090414,DIA,79.27,79.97,80.34,79.08,18572560.0,1.5774235485689871,51.97443089547739,85.44454142650731,16.55579726168873,0.0
20090415,DIA,80.3,79.04,80.46,78.74,18262800.0,1.5949711293278597,53.31053963361482,85.56973384865762,13.910959356593327,0.0
20090416,DIA,81.26,80.86,81.79,79.71,19516430.0,1.6668336700518722,54.530229215840194,99.5929200811913,21.371677155502912,0.0
20090417,DIA,81.31,81.44,81.85,80.82,16834620.0,1.7081032417349178,54.59413856687485,103.37598298162956,21.69891523038172,0.0
20090420,DIA,78.52,80.05,80.16,78.35,16639540.0,1.499091517632877,50.497139405849495,56.836511330350184,2.860555671278546,0.0
20090421,DIA,79.59,77.83,79.76,77.81,18038660.0,1.4033597513490292,51.928376162649265,54.79846358979978,0.7305843792011013,0.0
20090422,DIA,78.81,79.03,80.45,78.66,20441670.0,1.2503037234681074,50.8203427498108,57.50304895127629,3.854340112072837,0.0
20090423,DIA,79.65,78.94,79.85,78.02,19506410.0,1.1829801476635424,51.962270243742616,50.31912541760466,0.6302189324635885,0.0
20090424,DIA,80.73,80.1,81.27,79.93,17650780.0,1.202705107197147,53.401379665866045,88.96567223445228,8.7184575739937,0.0
20090427,DIA,80.26,79.77,81.23,79.66,17582810.0,1.167034787724262,52.69075040675595,78.55333785960029,6.703620262155095,0.0
20090428,DIA,80.12,79.47,80.95,79.37,16455330.0,1.1146387999795735,52.475570748777216,68.03863235636824,4.480465327525843,0.0
20090429,DIA,81.77,80.82,82.55,80.69,18080400.0,1.1922666253798866,54.7296038496118,119.06369347065727,14.933337737714943,0.0
20090430,DIA,81.67,82.73,83.06,81.35,17496090.0,1.2315302545563185,54.567342346575664,128.459962369855,17.991199175036453,0.0
20090501,DIA,82.16,81.79,82.19,80.96,12329370.0,1.2872808777362792,55.24001299600453,115.9403476632515,14.62307125819403,0.0
20090504,DIA,84.2406,82.74,84.3,82.6,13784160.0,1.4820196501912193,57.97324185716435,194.04721464794125,26.720737436635623,0.0
20090505,DIA,84.16,84.06,84.56,83.61,11983830.0,1.6112762837447434,57.831720539418065,194.5348670513653,28.06339600842139,0.0
20090506,DIA,85.202,85.05,85.27,84.19,18350750.0,1.7771976643885665,59.16488579143084,205.65559739628588,31.715597335458007,0.0
20090507,DIA,84.17,85.8,85.91,83.65,19811570.0,1.8047041175136513,57.30856564474685,173.8803886873612,34.90030136645627,0.0
20090508,DIA,85.72,85.14,85.968,84.61,18461740.0,1.929199718124707,59.29298459996203,183.2766634365202,35.19310770542587,0.0
20090511,DIA,84.43,84.76,84.99,84.2,13308480.0,1.9019443936942793,57.011404959303114,137.55938001924562,30.749248834887137,0.0
20090512,DIA,84.72,84.77,85.28,83.77,16803840.0,1.882025787407187,57.39268844675254,127.6188843101517,26.102205898187353,0.0
20090513,DIA,83.13,83.71,83.86,82.8,17681080.0,1.7182391457804727,54.643794539933026,75.34977083418687,16.147797889738293,0.0
20090514,DIA,83.39,83.12,83.97,82.94,15028050.0,1.5910585621263351,55.00832435753544,74.98799195185033,16.942594056133878,0.0
20090515,DIA,82.78,83.15,83.95,82.28,23137170.0,1.4246569900593187,53.95584262320347,55.32247886158645,10.240690666883118,0.0
20090518,DIA,85.12,83.58,85.12,83.5,12681570.0,1.4645909458101585,57.20512317774653,101.96012739948252,19.0336602060513,0.0
20090519,DIA,84.74,84.94,85.39,84.63,17896040.0,1.4488912178415916,56.534898682838744,104.83631205703182,20.944093970682403,0.0
20090520,DIA,84.19,85.34,85.97,84.1,18083800.0,1.3762283904355712,55.560241593145804,92.27418411482256,25.00734925178089,0.0
20090521,DIA,83.1,83.28,83.33,82.3,19976970.0,1.2167090307105042,53.66352902206652,26.53383990990077,6.797402148774731,0.0
20090522,DIA,82.87,83.42,83.74,82.66,10156650.0,1.0595249961784532,53.266596267240885,30.200431910059834,9.989962588508714,0.0
20090526,DIA,84.85,82.27,85.06,82.27,13633790.0,1.082177285166992,56.15475352053159,60.494792763985316,19.481969072648017,0.0
20090527,DIA,83.16,84.97,85.07,82.97,13708110.0,0.952833460721564,53.24905787745635,45.554510791719125,19.550672636547837,0.0
20090528,DIA,84.02,83.79,84.45,82.53,17780110.0,0.909214201369096,54.48875978877381,40.06343645468565,14.937862196495963,0.0
20090529,DIA,85.39,84.39,85.76,83.76,15272420.0,0.9739258944601943,56.39428915853231,85.6346320969069,24.241012945541772,0.0
20090601,DIA,87.35,86.28,87.67,86.05,12951270.0,1.1698271155434128,58.93870659299984,154.75097406189337,35.27411270999293,0.0
20090602,DIA,87.5,87.14,87.97,86.93,10536220.0,1.3219404189225088,59.12752069147782,165.61480188910141,36.819016197190635,0.0
20090603,DIA,86.95,87.02,87.11,86.0799,9488003.0,1.3821894717115129,58.11389762431009,131.82282541103766,27.594021524582036,0.0
20090604,DIA,87.51,86.91,87.66,86.49,11762210.0,1.4583013322605751,58.856802907813545,147.0248470459592,30.819965382722287,0.0
20090605,DIA,87.91,88.25,88.55,87.12,16827600.0,1.5332144266305505,59.38903617317614,165.5282661354587,35.770032563186746,0.0
20090608,DIA,87.74,87.22,88.4,86.5,23533620.0,1.5608755088841235,59.05317529403236,142.21306012877167,28.901654558525014,0.0
20090609,DIA,87.74,87.97,88.23,87.44,21925830.0,1.5647588704333941,59.05317529403236,145.28205714948177,28.901654558525003,0.0
20090610,DIA,87.65,88.55,88.58,86.58,25155020.0,1.5427907213388181,58.864572882204115,127.4598135867294,19.333120285486036,0.0
