,MeanVar,MinVar,Equal,DRL
2015-12-31,,,,
2016-12-31,,,,
2017-12-31,,,,
2018-12-31,,,,
2019-12-31,,,,
2020-12-31,1.0141501270205255,0.2783542710714917,0.2783655692187632,-0.09263874017100011
2021-12-31,2.0280647163723557,2.1732448802094333,2.1732640043780616,0.691717420700859
2022-12-31,2.9698429138780575,6.871022145917038,6.871682296684875,3.3204760000042315
2023-12-31,0.019940466376663257,0.10625374839430114,0.1062537483943009,0.32674511900517145
2024-12-31,-0.4673906129943027,-0.6466312046400919,-0.6466312046400919,-0.49525864617516774
2025-12-31,-1.76026587909243,-2.168025576996715,-2.168025576996716,-1.7227650298154664
