,equity
2015-01-31,0.9692887171134613
2015-02-28,1.0224954085737703
2015-03-31,1.0047079689224234
2015-04-30,1.0132689044998768
2015-05-31,1.0238994959543382
2015-06-30,1.0023856556051347
2015-07-31,1.0221747827234984
2015-08-31,0.9582062484201499
2015-09-30,0.9328685622617326
2015-10-31,1.0102809040676306
2015-11-30,1.0107909636888557
2015-12-31,0.9930716110660162
2016-01-31,0.9426878030628961
2016-02-29,0.9387960481529491
2016-03-31,1.0007482456024852
2016-04-30,1.0034496636987125
2016-05-31,1.0188271309490298
2016-06-30,1.0197552022226257
2016-07-31,1.0560684817909303
2016-08-31,1.0547808777936287
2016-09-30,1.053478802337307
2016-10-31,1.033014261385628
2016-11-30,1.0683170298113243
2016-12-31,1.0877612142835198
2017-01-31,1.1072151254740739
2017-02-28,1.148401490939858
2017-03-31,1.1479545363694452
2017-04-30,1.1583908306937751
2017-05-31,1.1718006539913288
2017-06-30,1.1774414389280108
2017-07-31,1.200223548456316
2017-08-31,1.2008793902343982
2017-09-30,1.2240599393598417
2017-10-31,1.251219546623423
2017-11-30,1.2863570794555461
2017-12-31,1.2990040670730783
2018-01-31,1.371980432215034
2018-02-28,1.3185454001103387
2018-03-31,1.2830969681463016
2018-04-30,1.2865854200999307
2018-05-31,1.3143863976825727
2018-06-30,1.3207512300443611
2018-07-31,1.36832674466783
2018-08-31,1.4097367060373376
2018-09-30,1.415790520648695
2018-10-31,1.317529906990034
2018-11-30,1.341060143502308
2018-12-31,1.217981807952588
2019-01-31,1.3138179777511994
2019-02-28,1.3528763270298265
2019-03-31,1.3771256289895113
2019-04-30,1.4312652550825955
2019-05-31,1.337119873619088
2019-06-30,1.4292877657929597
2019-07-31,1.4480516730726616
2019-08-31,1.4218540619784135
2019-09-30,1.4462831896092088
2019-10-31,1.4758333158371035
2019-11-30,1.5260810684017247
2019-12-31,1.5697114497827924
2020-01-31,1.5671558138434223
2020-02-29,1.4353415804043166
2020-03-31,1.2557526718524312
2020-04-30,1.4150374116870317
2020-05-31,1.4791128805830627
2020-06-30,1.506311394720077
2020-07-31,1.589311143130204
2020-08-31,1.7006656989768096
2020-09-30,1.633952035653881
2020-10-31,1.5887474679394926
2020-11-30,1.7596103239388678
2020-12-31,1.8249296265995885
2021-01-31,1.8046060044455878
2021-02-28,1.8516907942660312
2021-03-31,1.930274019448932
2021-04-30,2.0314692552073854
2021-05-31,2.042614888260767
2021-06-30,2.087989554927909
2021-07-31,2.1354872558045117
2021-08-31,2.197395920258469
2021-09-30,2.092867622803086
2021-10-31,2.23757651932231
2021-11-30,2.218929214044391
2021-12-31,2.315703181834956
2022-01-31,2.193931547863705
2022-02-28,2.125128775227051
2022-03-31,2.2011516197299197
2022-04-30,2.0075455610756725
2022-05-31,2.0076523177405794
2022-06-30,1.8391701353686423
2022-07-31,2.0067486818813953
2022-08-31,1.9215820104106793
2022-09-30,1.742114567219754
2022-10-31,1.881245783853107
2022-11-30,1.9823681878423896
2022-12-31,1.8654650136464712
2023-01-31,1.9806628094297487
2023-02-28,1.9289427638375352
2023-03-31,1.9965553182789868
2023-04-30,2.025789563397272
2023-05-31,2.0308182767884846
2023-06-30,2.1622679955261876
2023-07-31,2.229598712372283
2023-08-31,2.190098271882422
2023-09-30,2.0833980693887524
2023-10-31,2.037605628306273
2023-11-30,2.2193178083046523
2023-12-31,2.3174765286575845
2024-01-31,2.3543144579246507
2024-02-29,2.4760811099182054
2024-03-31,2.5528861249192962
2024-04-30,2.4466475856920926
2024-05-31,2.564138514637585
2024-06-30,2.6530366874023694
2024-07-31,2.6830725564555915
2024-08-31,2.744339731971971
2024-09-30,2.7997668434438396
2024-10-31,2.7720582696856013
2024-11-30,2.9309007996904515
2024-12-31,2.8576571870306773
2025-01-31,2.934860523010388
2025-02-28,2.8930619673806186
2025-03-31,2.7265815910942157
2025-04-30,2.7057915609330863
2025-05-31,2.87226221050113
2025-06-30,3.0147460608866474
