,SPX,MeanVar,MinVar,Equal,DRL
2015-03-31,1.0047079689224239,,,,
2015-06-30,1.0023856556051338,,,,
2015-09-30,0.9328685622617316,,,,
2015-12-31,0.9930716110660149,,,,
2016-03-31,1.0007482456024848,,,,
2016-06-30,1.0197552022226257,,,,
2016-09-30,1.0534788023373067,,,,
2016-12-31,1.08776121428352,,,,
2017-03-31,1.1479545363694459,,,,
2017-06-30,1.177441438928012,,,,
2017-09-30,1.2240599393598421,,,,
2017-12-31,1.2990040670730774,,,,
2018-03-31,1.2830969681463011,1.0156860511256276,1.0043415605561459,1.0043415605561459,1.0024079377326345
2018-06-30,1.320751230044361,1.0780338026305074,1.0554980781743775,1.055498078174378,1.0478025758684355
2018-09-30,1.4157905206486951,1.140939922401965,1.0969708773084266,1.096970877308427,1.098825053264541
2018-12-31,1.2179818079525873,0.9341238708865588,0.9027445256236144,0.9027445256236148,0.9203353595614269
2019-03-31,1.3771256289895104,1.086537318972918,1.0530292056464194,1.0530292056464199,1.050496794495238
2019-06-30,1.4292877657929586,1.1121376581657036,1.0637577805777285,1.063757780577729,1.0643939267622877
2019-09-30,1.4462831896092088,1.1203470332071448,1.0615560812306881,1.0615560812306886,1.0668707990432116
2019-12-31,1.5697114497827929,1.2341102049154375,1.1790827142367728,1.1790827142367735,1.1630043795605691
2020-03-31,1.2557526718524317,0.8892100919285175,0.8054702785930599,0.8054702785930601,0.8000214341178777
2020-06-30,1.506311394720077,1.1382815596409894,1.035966937804105,1.0359669378041052,1.0267335740748513
2020-09-30,1.6339520356538804,1.2528864910768789,1.1340777275694853,1.1340772527618652,1.1147183494679362
2020-12-31,1.8249296265995878,1.5520458400983392,1.4242067548252981,1.4242086575387922,1.3927833057456638
2021-03-31,1.9302740194489307,1.7770367887162277,1.6403383467290211,1.6403405381902656,1.6081970397944072
2021-06-30,2.087989554927907,1.9084465891627365,1.7976721325306888,1.7976745341869182,1.762564943145498
2021-09-30,2.092867622803084,1.8957988217342185,1.7627540724199795,1.762756427426336,1.7371726699059837
2021-12-31,2.3157031818349543,2.03331772924768,1.899893002464156,1.8998955406855498,1.8750876844030593
2022-03-31,2.2011516197299175,2.0014701101867285,1.8780198213143955,1.8780223303136292,1.8653234092659883
2022-06-30,1.8391701353686407,1.6256248944561231,1.535635890994838,1.5356379425755666,1.534892892852147
2022-09-30,1.7421145672197522,1.5505428346738883,1.465098155241822,1.4651001125854597,1.4626689739589573
2022-12-31,1.8654650136464694,1.7632967298681976,1.6398033684866777,1.6398055592332013,1.6336961745733605
2023-03-31,1.996555318278984,1.7913993335801508,1.7057180490343382,1.7057203278416377,1.7075550368438719
2023-06-30,2.1622679955261863,1.8243625198788305,1.745961245765817,1.7459635783372722,1.7574224225539692
2023-09-30,2.083398069388751,1.7756014126370048,1.653354308388403,1.6533565172387281,1.6779593255460552
2023-12-31,2.3174765286575822,2.016807876966768,1.8755127935424791,1.8755152991923703,1.9068158918919194
2024-03-31,2.552886124919294,2.1721973493199522,2.00611505583137,2.006117735963433,2.037352389574186
2024-06-30,2.6530366874023654,2.141985447631024,1.9667791381727882,1.9667817657528033,1.9646451001058904
2024-09-30,2.799766843443837,2.3715104495661357,2.1286804016789653,2.12868324555603,2.1649343731098125
2024-12-31,2.857657187030674,2.3688619572788614,2.1166726783177876,2.1166755061527587,2.1640600132802508
2025-03-31,2.726581591094212,2.390624961360935,2.082469844667215,2.082472626807842,2.1186390380952456
2025-06-30,3.0147460608866417,2.4575213878086037,2.1763990215659654,2.17640192919421,2.2551356763816823
