tic,gvkey,latest_date,count_gvkeys
DIS,3980,2025-07-28,1
DLR,160991,2025-07-28,1
DLTR,31587,2025-07-28,1
DLX,3863,2025-07-28,1
DNB,4094,2025-07-28,1
DOC,13125,2025-07-28,1
DOV,4058,2025-07-28,1
DOW,34443,2025-07-28,1
DPZ,160211,2025-07-28,1
DRI,31846,2025-07-28,1
DTE,3897,2025-07-28,1
DUK,4093,2025-07-28,1
DVA,61483,2025-07-28,1
DVN,14934,2025-07-28,1
DXC,3336,2025-07-28,1
DXCM,162887,2025-07-28,1
DYN,36911,2025-07-28,1
EA,16721,2025-07-28,1
EBAY,114524,2025-07-28,1
EC,287882,2025-07-28,1
ECH,178917,2025-07-28,1
ECL,4213,2025-07-28,1
ECO,327675,2025-07-28,1
ED,3413,2025-07-28,1
EFU,178707,2025-07-28,1
EFX,4423,2025-07-28,1
EG,61388,2025-07-28,1
EHC,12589,2025-07-28,1
EIX,9846,2025-07-28,1
EL,61567,2025-07-28,1
ELV,145046,2025-07-28,1
EMC,42939,2025-07-28,1
EMN,29392,2025-07-28,1
EMR,4321,2025-07-28,1
ENPH,187450,2025-07-28,1
ENS,160893,2025-07-28,1
EOG,16478,2025-07-28,1
EP,26028,2025-07-28,1
EPAM,187697,2025-07-28,1
EQ,34164,2025-07-28,1
EQIX,138743,2025-07-28,1
EQR,28733,2025-07-28,1
EQT,4430,2025-07-28,1
ERIE,61380,2025-07-28,1
ES,7970,2025-07-28,1
ESS,30293,2025-07-28,1
ETN,4199,2025-07-28,1
ETR,7366,2025-07-28,1
ETSY,23238,2025-07-28,1
EVRG,6338,2025-07-28,1
EW,133366,2025-07-28,1
EXC,8539,2025-07-28,1
EXE,27786,2025-07-28,1
EXPD,4494,2025-07-28,1
EXPE,126296,2025-07-28,1
EXR,160479,2025-07-28,1
F,4839,2025-07-28,1
FANG,170750,2025-07-28,1
FAST,14225,2025-07-28,1
FB,51995,2025-07-28,1
FCN,62823,2025-07-28,1
FCPT,26410,2025-07-28,1
FCX,14590,2025-07-28,1
FDS,63172,2025-07-28,1
FDX,4598,2025-07-28,1
FE,8099,2025-07-28,1
FFIV,121077,2025-07-28,1
FG,27215,2025-07-28,1
FHN,4737,2025-07-28,1
FI,12635,2025-07-28,1
FICO,13824,2025-07-28,1
FIS,165993,2025-07-28,1
FITB,4640,2025-07-28,1
FL,11584,2025-07-28,1
FLR,4818,2025-07-28,1
FLS,4108,2025-07-28,1
FMC,4510,2025-07-28,1
FMCC,15208,2025-07-28,1
FMY,164010,2025-07-28,1
FNMA,4601,2025-07-28,1
FOSL,28118,2025-07-28,1
FOX,34636,2025-07-28,1
FOXA,34636,2025-07-28,1
FRO,312009,2025-07-28,1
FRT,4605,2025-07-28,1
FSLR,175404,2025-07-28,1
FTI,30923,2025-07-28,1
FTNT,183377,2025-07-28,1
FTV,26590,2025-07-28,1
G,177983,2025-07-28,1
GD,5046,2025-07-28,1
GDDY,23071,2025-07-28,1
GE,5047,2025-07-28,1
GEHC,41818,2025-07-28,1
GEN,15855,2025-07-28,1
GEV,45169,2025-07-28,1
GHC,11300,2025-07-28,1
GILD,24856,2025-07-28,1
GIS,5071,2025-07-28,1
GL,10614,2025-07-28,1
GLD,162353,2025-07-28,1
GLW,3532,2025-07-28,1
GM,5073,2025-07-28,1
GME,145049,2025-07-28,1
GNRC,183736,2025-07-28,1
GNT,186332,2025-07-28,1
GNW,158354,2025-07-28,1
GOOG,160329,2025-07-28,1
GOOGL,160329,2025-07-28,1
GP,22703,2025-07-28,1
GPC,5125,2025-07-28,1
GPN,141913,2025-07-28,1
GRMN,141459,2025-07-28,1
GRN,36058,2025-07-28,1
GS,114628,2025-07-28,1
GT,5234,2025-07-28,1
GTE,164046,2025-07-28,1
GWW,5256,2025-07-28,1
H,183366,2025-07-28,1
HAL,5439,2025-07-28,1
HAS,5518,2025-07-28,1
HBAN,5786,2025-07-28,1
HBI,175319,2025-07-28,1
HCA,22260,2025-07-28,1
HCP,39391,2025-02-28,1
HD,5680,2025-07-28,1
HES,1380,2025-07-22,1
HI,179657,2025-07-28,1
HIG,61739,2025-07-28,1
HII,186310,2025-07-28,1
HLT,5643,2025-07-28,1
HOG,12389,2025-07-28,1
HOLX,20904,2025-07-28,1
HON,1300,2025-07-28,1
HP,5581,2025-07-28,1
HPE,26156,2025-07-28,1
HPQ,5606,2025-07-28,1
HRB,2269,2025-07-28,1
HRL,5709,2025-07-28,1
HSIC,61494,2025-07-28,1
HST,7063,2025-07-28,1
HSY,5597,2025-07-28,1
HUBB,5764,2025-07-28,1
HUM,27914,2025-07-28,1
HWM,28192,2025-07-28,1
IAC,36691,2025-07-28,1
IBM,6066,2025-07-28,1
ICE,163610,2025-07-28,1
IDXX,24197,2025-07-28,1
IEX,15267,2025-07-28,1
IFF,6078,2025-07-28,1
ILMN,138205,2025-07-28,1
INCY,29127,2025-07-28,1
INFO,50783,2025-07-28,1
INGR,66016,2025-07-28,1
INTC,6008,2025-07-28,1
INTU,27928,2025-07-28,1
INVH,30004,2025-07-28,1
IP,6104,2025-07-28,1
IPG,6136,2025-07-28,1
IPGP,175955,2025-07-28,1
IQV,17928,2025-07-28,1
IR,30098,2025-07-28,1
IRM,62374,2025-07-28,1
ISRG,136725,2025-07-28,1
IT,12441,2025-07-28,1
ITT,5860,2025-07-28,1
ITW,5878,2025-07-28,1
IVZ,29804,2025-07-28,1
J,6216,2025-07-28,1
JAVA,39824,2025-07-28,1
JBHT,5783,2025-07-28,1
JBL,28195,2025-07-28,1
JCI,6268,2025-07-28,1
JEF,6682,2025-07-28,1
JKHY,11811,2025-07-28,1
JNJ,6266,2025-07-28,1
JNPR,121718,2025-07-08,1
JPM,2968,2025-07-28,1
JWN,7922,2025-05-21,1
K,6375,2025-07-28,1
KBH,12689,2025-07-28,1
KDP,28877,2025-07-28,1
KEY,9783,2025-07-28,1
KEYS,20232,2025-07-28,1
KG,178371,2025-07-28,1
KHC,5568,2025-07-28,1
KIM,24731,2025-07-28,1
KKR,179741,2025-07-28,1
KLAC,6304,2025-07-28,1
KMB,6435,2025-07-28,1
KMI,6310,2025-07-28,1
KMX,64410,2025-07-28,1
KO,3144,2025-07-28,1
KR,6502,2025-07-28,1
KSS,25283,2025-07-28,1
KVUE,41897,2025-07-28,1
L,6781,2025-07-28,1
LB,45445,2025-07-28,1
LDOS,165123,2025-07-28,1
LEG,6649,2025-07-28,1
LEN,6669,2025-07-28,1
LH,14960,2025-07-28,1
LHX,5492,2025-07-28,1
LII,122380,2025-07-28,1
LIN,25124,2025-07-28,1
LKQ,155394,2025-07-28,1
LLY,6730,2025-07-28,1
LMT,6774,2025-07-28,1
LNC,6742,2025-07-28,1
LNT,11554,2025-07-28,1
LOW,6829,2025-07-28,1
LPX,6821,2025-07-28,1
LRCX,6565,2025-07-28,1
LU,37233,2025-07-28,1
LULU,178015,2025-07-28,1
LUMN,2884,2025-07-28,1
LUV,9882,2025-07-28,1
LVS,161844,2025-07-28,1
LW,28790,2025-07-28,1
LYB,294524,2025-07-28,1
LYV,165746,2025-07-28,1
M,4611,2025-07-28,1
MA,160225,2025-07-28,1
MAA,29649,2025-07-28,1
MAC,29868,2025-07-28,1
MAR,28930,2025-07-28,1
MAS,7085,2025-07-28,1
MAT,7116,2025-07-28,1
MBI,13561,2025-07-28,1
MCD,7154,2025-07-28,1
MCHP,27965,2025-07-28,1
MCIC,65391,2025-07-28,1
MCK,7171,2025-07-28,1
MCO,139665,2025-07-28,1
MD,61325,2025-07-28,1
MDLZ,142953,2025-07-28,1
MDT,7228,2025-07-28,1
MEDI,41792,2025-07-28,1
MET,133768,2025-07-28,1
META,170617,2025-07-28,1
MGM,14418,2025-07-28,1
MHK,25119,2025-07-28,1
MI,18892,2025-07-28,1
MIR,39935,2025-07-28,1
MKC,7146,2025-07-28,1
MKTX,158742,2025-07-28,1
MLM,29733,2025-07-28,1
MMC,7065,2025-07-28,1
MMI,19000,2025-07-28,1
MMM,7435,2025-07-28,1
MNR,43507,2025-07-28,1
MNST,24316,2025-07-28,1
MO,8543,2025-07-28,1
MOB,324138,2025-07-28,1
MOH,152149,2025-07-28,1
MOS,162129,2025-07-28,1
MPC,186989,2025-07-28,1
MPWR,160888,2025-07-28,1
MRK,7257,2025-07-28,1
MRNA,34410,2025-07-28,1
MS,12124,2025-07-28,1
MSCI,178507,2025-07-28,1
MSFT,12141,2025-07-28,1
MSI,7585,2025-07-28,1
MST,51646,2025-07-28,1
MTB,4699,2025-07-28,1
MTCH,26061,2025-07-28,1
MTD,65772,2025-07-28,1
MTG,24379,2025-07-28,1
MTW,6994,2025-07-28,1
MU,7343,2025-07-28,1
MUR,7620,2025-07-28,1
NAVI,10121,2025-07-28,1
NBR,1661,2025-07-28,1
NC,7938,2025-07-28,1
NCLH,104432,2025-07-28,1
NDAQ,149337,2025-07-28,1
NDSN,7921,2025-07-28,1
NE,11925,2025-07-28,1
NEE,4517,2025-07-28,1
NEM,7881,2025-07-28,1
NFLX,147579,2025-07-28,1
NI,7974,2025-07-28,1
NKE,7906,2025-07-28,1
NKTR,30137,2025-07-28,1
NOC,7985,2025-07-28,1
NOV,63892,2025-07-28,1
NOW,171007,2025-07-28,1
NRG,135990,2025-07-28,1
NSC,7923,2025-07-28,1
NSI,43711,2025-07-28,1
NTAP,61591,2025-07-28,1
NTRS,7982,2025-07-28,1
NUE,8030,2025-07-28,1
NVDA,117768,2025-07-28,1
NVR,12459,2025-07-28,1
NWL,7875,2025-07-28,1
NWS,18043,2025-07-28,1
NWSA,18043,2025-07-28,1
NXPI,184725,2025-07-28,1
NYT,7866,2025-07-28,1
O,30822,2025-07-28,1
ODFL,24617,2025-07-28,1
ODP,14624,2025-07-28,1
OGN,38821,2025-07-28,1
OI,8215,2025-07-28,1
OKE,8151,2025-07-28,1
OM,36885,2025-07-28,1
OMC,4066,2025-07-28,1
ON,134932,2025-07-28,1
ORCL,12142,2025-07-28,1
ORLY,28180,2025-07-28,1
OTIS,36190,2025-07-28,1
OXY,8068,2025-07-28,1
PAC,166385,2025-07-28,1
PANW,171067,2025-07-28,1
PARA,13714,2025-07-28,1
PAYC,20116,2025-07-28,1
PAYX,8402,2025-07-28,1
PBI,8606,2025-07-28,1
PCAR,8253,2025-07-28,1
PCG,8264,2025-07-28,1
PCH,8692,2025-07-28,1
PD,34955,2025-07-28,1
PDCO,25880,2025-04-21,1
PEG,8810,2025-07-28,1
PENN,30259,2025-07-28,1
PEP,8479,2025-07-28,1
PET,38426,2025-07-28,1
PFE,8530,2025-07-28,1
PFG,145701,2025-07-28,1
PG,8762,2025-07-28,1
PGR,13341,2025-07-28,1
PH,8358,2025-07-28,1
PHB,178901,2025-07-28,1
PHM,8823,2025-07-28,1
PKG,128978,2025-07-28,1
PLD,29984,2025-07-28,1
PLL,253501,2025-07-28,1
PLTR,36910,2025-07-28,1
PM,179621,2025-07-28,1
PNC,8245,2025-07-28,1
PNR,8463,2025-07-28,1
PNW,1075,2025-07-28,1
PODD,177227,2025-07-28,1
POOL,61420,2025-07-28,1
PPG,8247,2025-07-28,1
PPL,8455,2025-07-28,1
PRGO,24782,2025-07-28,1
PRU,143356,2025-07-28,1
PSA,10096,2025-07-28,1
PSX,170841,2025-07-28,1
PTC,18699,2025-07-28,1
PVH,8551,2025-07-28,1
PWER,43659,2025-07-28,1
PWR,66446,2025-07-28,1
PX,39750,2025-07-28,1
PYPL,24616,2025-07-28,1
QCOM,24800,2025-07-28,1
QRVO,64853,2025-07-28,1
R,9299,2025-07-28,1
RAL,51921,2025-07-28,1
RCL,28191,2025-07-28,1
REG,29099,2025-07-28,1
REGN,23812,2025-07-28,1
RF,4674,2025-07-28,1
RHI,2312,2025-07-28,1
RIG,28338,2025-07-28,1
RJF,8898,2025-07-28,1
RL,64891,2025-07-28,1
RMD,31887,2025-07-28,1
ROK,9203,2025-07-28,1
ROL,9225,2025-07-28,1
ROP,24925,2025-07-28,1
ROST,9248,2025-07-28,1
RRC,6788,2025-07-28,1
RSG,112168,2025-07-28,1
RTX,10983,2025-07-28,1
RVTY,4145,2025-07-28,1
RYAN,39067,2025-07-28,1
RYI,5968,2025-07-28,1
S,37596,2025-07-28,1
SANM,28139,2025-07-28,1
SB,180112,2025-07-28,1
SBAC,121382,2025-07-28,1
SBNY,160776,2025-07-28,1
SBUX,25434,2025-07-28,1
SCHW,13988,2025-07-28,1
SCI,9611,2025-07-28,1
SDS,175138,2025-07-28,1
SE,32546,2025-07-28,1
SEDG,23119,2025-07-28,1
SEE,9555,2025-07-28,1
SEG,45397,2025-07-28,1
SHLD,43298,2025-07-28,1
SHW,9667,2025-07-28,1
SIG,15520,2025-07-28,1
SII,180081,2025-07-28,1
SJM,9777,2025-07-28,1
SLB,9465,2025-07-28,1
SLG,65290,2025-07-28,1
SLM,20430,2025-07-28,1
SMCI,176567,2025-07-28,1
SMI,39625,2025-06-18,1
SNA,9778,2025-07-28,1
SNDK,51008,2025-07-28,1
SNPS,24975,2025-07-28,1
SNT,28385,2025-07-28,1
SNV,13041,2025-07-28,1
SO,9850,2025-07-28,1
SOLV,45167,2025-07-28,1
SPG,29389,2025-07-28,1
SPGI,7163,2025-07-28,1
SRE,8272,2025-07-28,1
SSP,14535,2025-07-28,1
STE,25313,2025-07-28,1
STI,40279,2025-07-28,1
STLD,64030,2025-07-28,1
STR,34034,2025-07-28,1
STT,10035,2025-07-28,1
STX,150937,2025-07-28,1
STZ,2710,2025-07-28,1
SUB,181699,2025-07-28,1
SUN,12892,2025-07-28,1
SW,283184,2025-07-28,1
SWK,10016,2025-07-28,1
SWKS,1327,2025-07-28,1
SYF,20686,2025-07-28,1
SYK,10115,2025-07-28,1
SYY,10247,2025-07-28,1
T,9899,2025-07-28,1
TAP,3505,2025-07-28,1
TDC,178310,2025-07-28,1
TDG,148349,2025-07-28,1
TDY,126721,2025-07-28,1
TE,343180,2025-07-28,1
TECH,15414,2025-07-28,1
TEK,50819,2025-07-28,1
TEL,177267,2025-07-28,1
TEN,147398,2025-07-28,1
TER,10453,2025-07-28,1
TEX,7991,2025-07-28,1
TFC,11856,2025-07-28,1
TFX,10407,2025-07-28,1
TGNA,4988,2025-07-28,1
TGT,3813,2025-07-28,1
THC,7750,2025-07-28,1
THY,36306,2025-07-28,1
TJX,11672,2025-07-28,1
TKO,125240,2025-07-28,1
TKR,10581,2025-07-28,1
TMC,39624,2025-07-28,1
TMO,10530,2025-07-28,1
TMUS,17874,2025-07-28,1
TPL,10504,2025-07-28,1
TPR,140541,2025-07-28,1
TRGP,185532,2025-07-28,1
TRIP,199356,2025-07-28,1
TRMB,22815,2025-07-28,1
TROW,12138,2025-07-28,1
TRV,62689,2025-07-28,1
TSCO,29736,2025-07-28,1
TSLA,184996,2025-07-28,1
TSN,10793,2025-07-28,1
TT,5959,2025-07-28,1
TTWO,64630,2025-07-28,1
TX,165927,2025-07-28,1
TXN,10499,2025-07-28,1
