gvkey,predicted_return,trade_date
2991,0.0088853184133768,2001-03-01
6310,0.0476870387792587,2001-03-01
7017,0.0088853184133768,2001-03-01
7938,0.0476686283946037,2001-03-01
8549,0.0088853184133768,2001-03-01
10466,0.0176608189940452,2001-03-01
10504,0.0139235174283385,2001-03-01
12256,0.0210735369473695,2001-03-01
15247,0.0088853184133768,2001-03-01
141400,0.0087015414610505,2001-03-01
1380,0.0192705826265624,2001-06-01
1661,0.0192705826265624,2001-06-01
1678,0.0192705826265624,2001-06-01
2991,0.0192705826265624,2001-06-01
4430,0.0192705826265624,2001-06-01
4503,0.0192705826265624,2001-06-01
5439,0.0192705826265624,2001-06-01
5581,0.0192705826265624,2001-06-01
6310,0.0192705826265624,2001-06-01
6788,0.0192705826265624,2001-06-01
7017,0.0192705826265624,2001-06-01
7620,0.0192705826265624,2001-06-01
7912,0.0192705826265624,2001-06-01
7938,0.0192705826265624,2001-06-01
8068,0.0192705826265624,2001-06-01
8151,0.0192705826265624,2001-06-01
8549,0.0192705826265624,2001-06-01
9258,0.0192705826265624,2001-06-01
9465,0.0192705826265624,2001-06-01
9904,0.0192705826265624,2001-06-01
10466,0.0192705826265624,2001-06-01
10504,0.0192705826265624,2001-06-01
11506,0.0192705826265624,2001-06-01
11923,0.0192705826265624,2001-06-01
11925,0.0192705826265624,2001-06-01
12256,0.0192705826265624,2001-06-01
14359,0.0192705826265624,2001-06-01
14934,0.0192705826265624,2001-06-01
15247,0.0192705826265624,2001-06-01
16478,0.0192705826265624,2001-06-01
20548,0.0192705826265624,2001-06-01
27786,0.0192705826265624,2001-06-01
28256,0.0192705826265624,2001-06-01
28338,0.0192705826265624,2001-06-01
29173,0.0192705826265624,2001-06-01
60894,0.0192705826265624,2001-06-01
61409,0.0192705826265624,2001-06-01
63892,0.0192705826265624,2001-06-01
120093,0.0192705826265624,2001-06-01
141400,0.0192705826265624,2001-06-01
6310,0.0231469590216875,2001-09-01
7912,0.0229658223688602,2001-09-01
8151,0.0229658223688602,2001-09-01
9465,0.0275425687432289,2001-09-01
9904,0.0387859642505645,2001-09-01
10466,0.0229658223688602,2001-09-01
10504,0.0330483689904212,2001-09-01
12256,0.0411019101738929,2001-09-01
20548,0.0229658223688602,2001-09-01
28256,0.0387859642505645,2001-09-01
28338,0.0337767861783504,2001-09-01
60894,0.0236770361661911,2001-09-01
141400,0.0276549588888883,2001-09-01
1661,0.0327747389674186,2001-12-01
2991,0.0327747389674186,2001-12-01
5581,0.0327747389674186,2001-12-01
6310,0.0342977233231067,2001-12-01
9258,0.0327747389674186,2001-12-01
9465,0.0376103669404983,2001-12-01
11506,0.0376103669404983,2001-12-01
11925,0.0327747389674186,2001-12-01
12256,0.0470269359648227,2001-12-01
141400,0.0356297120451927,2001-12-01
5439,0.0383602641522884,2002-03-01
6788,0.0320235602557659,2002-03-01
8151,0.0424581430852413,2002-03-01
10504,0.0324451513588428,2002-03-01
11506,0.03208889067173,2002-03-01
12256,0.0453414507210254,2002-03-01
20548,0.0323933772742748,2002-03-01
30923,0.0424581430852413,2002-03-01
60894,0.0349592454731464,2002-03-01
63892,0.0416881889104843,2002-03-01
1661,0.0359320789575576,2002-06-01
5439,0.0336204878985881,2002-06-01
5581,0.0262294001877307,2002-06-01
6310,0.0272482074797153,2002-06-01
8151,0.0324178338050842,2002-06-01
10466,0.0264693647623062,2002-06-01
10504,0.0265974253416061,2002-06-01
11925,0.0262294001877307,2002-06-01
12256,0.0351411178708076,2002-06-01
28256,0.0267389081418514,2002-06-01
30923,0.0265974253416061,2002-06-01
60894,0.0262294001877307,2002-06-01
63892,0.0262294001877307,2002-06-01
147398,0.035079039633274,2002-06-01
