asset_id,symbol,price,target_weight,target_qty,current_qty,delta,action,planned_qty
1045,AAL,13.89,0.006861959022535577,49.49201530595801,51.840434087,-2.3484187810419854,SELL,2.3484187810419854
1161,AMD,162.69,0.002524373551955822,1.5544688594546867,1.549331251,0.005137608454686804,BUY,0.005137608454686804
1722,ADM,62.645,0.006861959022535577,10.97364662143438,10.989674756,-0.016028134565619467,SELL,0.016028134565619467
1878,ADSK,314.56,0.006861959022535577,2.1854148416828485,2.205409721,-0.019994879317151604,SELL,0.019994879317151604
2086,BAX,24.71,0.006861959022535577,27.820481286918525,0.0,27.820481286918525,BUY,27.820481286918525
2101,AIT,263.08,0.006861959022535577,2.613061017940386,3.0,-0.38693898205961386,SELL,0.38693898205961386
2269,HRB,50.37,0.002524373551955822,5.02077702490933,6.0,-0.9792229750906696,SELL,0.9792229750906696
2312,RHI,37.32,0.006861959022535577,18.42025971596347,20.0,-1.5797402840365287,SELL,1.5797402840365287
2504,UIS,3.9,0.002524373551955822,64.8452663447905,64.758475517,0.08679082779050873,BUY,0.08679082779050873
2574,CSX,32.52,0.006861959022535577,21.139117238614904,21.192870291,-0.05375305238509398,SELL,0.05375305238509398
2884,LUMN,4.965,0.002524373551955822,50.935858760258405,50.8,0.13585876025840804,BUY,0.13585876025840804
3231,CMA,70.56,0.002524373551955822,3.5841346193974344,3.579745841,0.004388778397434567,BUY,0.004388778397434567
3336,DXC,14.43,0.002524373551955822,17.52574766075419,17.307573798,0.21817386275419182,BUY,0.21817386275419182
3362,CAG,19.135,0.006861959022535577,35.92600431668444,36.090966452,-0.16496213531556236,SELL,0.16496213531556236
3708,WEN,10.62,0.002524373551955822,23.81323340345414,24.187646762,-0.37441335854585844,SELL,0.37441335854585844
3863,DLX,19.66,0.006861959022535577,34.966637466925576,35.124746128,-0.15810866107442223,SELL,0.15810866107442223
3897,DTE,136.69,0.002524373551955822,1.8501465999318383,1.847639424,0.002507175931838246,BUY,0.002507175931838246
3964,DDS,532.345,0.006861959022535577,1.2913507079051307,1.249315887,0.042034820905130665,BUY,0.042034820905130665
4058,DOV,178.89,0.002524373551955822,1.4136985787058136,1.406478137,0.007220441705813707,BUY,0.007220441705813707
4060,DD,76.97,0.002524373551955822,3.28565075671928,3.26,0.0256507567192803,BUY,0.0256507567192803
4430,EQT,51.86,0.006861959022535577,13.255767308132603,13.212958309,0.042808999132603276,BUY,0.042808999132603276
4605,FRT,100.59,0.002524373551955822,2.5141320085961127,2.520688991,-0.006556982403887357,SELL,0.006556982403887357
4674,RF,27.4,0.002524373551955822,9.229800684112517,9.186500813,0.04329987111251654,BUY,0.04329987111251654
4723,USB,48.88,0.006861959022535577,14.063913514724975,14.011815069,0.05209844572497424,BUY,0.05209844572497424
4737,FHN,22.61,0.006861959022535577,30.40442691728248,30.180749143,0.22367777428247848,BUY,0.22367777428247848
4818,FLR,41.025,0.002524373551955822,6.164449451424326,6.175380877,-0.010931425575674503,SELL,0.010931425575674503
5073,GM,58.62,0.006861959022535577,11.72712542817736,11.765568529,-0.03844310082264002,SELL,0.03844310082264002
5234,GT,8.475,0.002524373551955822,29.840299556894745,29.84,0.00029955689474547853,BUY,0.00029955689474547853
5439,HAL,22.74,0.002524373551955822,11.12121982166592,11.069414531,0.05180529066591966,BUY,0.05180529066591966
5543,WELL,168.32,0.006861959022535577,4.084149789684867,4.096550664,-0.012400874315132704,SELL,0.012400874315132704
5568,KHC,27.98,0.006861959022535577,24.569124110069936,25.001060411,-0.4319363009300652,SELL,0.4319363009300652
5786,HBAN,17.83,0.006861959022535577,38.55547350531446,38.381024903,0.17444860231446313,BUY,0.17444860231446313
6008,INTC,24.38,0.006861959022535577,28.197050557824316,28.0,0.19705055782431558,BUY,0.19705055782431558
6310,KMI,26.98,0.002524373551955822,9.373481791871125,9.34532148,0.028160311871124222,BUY,0.028160311871124222
6502,KR,67.83,0.002524373551955822,3.7283877155341734,3.756693856,-0.02830614046582669,SELL,0.02830614046582669
6649,LEG,9.62,0.006861959022535577,71.4598848856296,71.829065413,-0.3691805273703892,SELL,0.3691805273703892
6733,BBWI,29.215,0.006861959022535577,23.53051831592527,23.30578593,0.22473238592527167,BUY,0.22473238592527167
6788,RRC,34.255,0.006861959022535577,20.068430669968084,19.991728232,0.07670243796808407,BUY,0.07670243796808407
6821,LPX,95.165,0.006861959022535577,7.22370716754854,7.190704802,0.033002365548539636,BUY,0.033002365548539636
6829,LOW,258.15,0.006861959022535577,2.662963752081181,2.676021332,-0.013057579918819062,SELL,0.013057579918819062
6994,MTW,9.9,0.006861959022535577,69.43879723229867,69.910036417,-0.4712391847013322,SELL,0.4712391847013322
7063,HST,17.22,0.002524373551955822,14.686210147774855,14.706433303,-0.020223155225146172,SELL,0.020223155225146172
7241,CVS,73.14,0.006861959022535577,9.399016852608105,9.472943651,-0.07392679839189498,SELL,0.07392679839189498
7435,MMM,155.57,0.006861959022535577,4.418873128493648,4.391125257,0.027747871493648546,BUY,0.027747871493648546
7647,BAC,50.765,0.002524373551955822,4.981710602672766,4.971730627,0.009979975672766095,BUY,0.009979975672766095
7750,THC,184.31,0.006861959022535577,3.7298252541899886,3.770006615,-0.040181360810011224,SELL,0.040181360810011224
7866,NYT,59.84,0.006861959022535577,11.488036306814116,11.510288119,-0.02225181218588368,SELL,0.02225181218588368
7881,NEM,74.41,0.002524373551955822,3.3986902129375487,3.396210676,0.0024795369375487653,BUY,0.0024795369375487653
7970,ES,64.06,0.006861959022535577,10.731253396811688,10.705805617,0.025447779811688775,BUY,0.025447779811688775
