symbol,price
DOC,17.955
TFC,46.85
ODP,20.25
AVB,195.84
PKG,217.995
MD,17.205
SRE,82.56
RIG,3.025
MOH,180.83
ADM,62.645
CSX,32.52
CPRT,48.83
PSX,133.61
EXR,143.63
IEX,164.45
FI,138.19
CIEN,93.94
DXC,14.43
SBAC,204.73
AKAM,79.14
COIN,304.36
EIX,56.15
EW,81.37
NYT,59.84
BNL,18.58
FE,43.63
CDNS,350.39
BXP,72.54
NKTR,29.825
PSA,294.77
CCI,99.16
CCU,12.39
VICI,33.815
PLTR,156.7
DDS,532.345
PENN,20.24
WDAY,230.84
CVS,73.14
PTC,213.47
IQV,190.73
INVH,31.31
CPT,112.01
SUN,52.195
MTCH,37.34
KMX,61.33
DLX,19.66
HUM,303.74
AMT,203.76
ICE,176.58
LW,57.55
MMM,155.57
PHM,132.03
DOV,178.89
WU,8.67
NVR,8126.58
MTW,9.9
TX,33.06
SYF,76.33
AMH,35.82
DD,76.97
MAC,18.4
VTR,68.09
SNA,325.135
PLD,113.8
SLM,31.29
SLG,56.86
OXY,47.64
EQ,1.755
KBH,63.52
EQT,51.86
XRAY,14.29
BRO,96.99
GPN,88.87
ADSK,314.56
S,18.87
DTE,136.69
MAA,145.82
RF,27.4
INTC,24.38
CFG,52.31
FTI,36.77
AM,17.79
FHN,22.61
CAG,19.135
STT,115.03
HAL,22.74
LPX,95.165
QRVO,90.74
CF,86.6
IR,79.42
ANET,136.52
VNT,42.905
NDAQ,94.74
DLR,167.65
GOOGL,213.02
ABBV,210.33
DHI,169.51
AIV,7.82
TDC,20.98
LOW,258.15
ES,64.06
TEX,49.95
PBI,12.125
AXON,748.28
WDC,80.35
PPG,111.22
TMC,5.375
KR,67.83
CMA,70.56
NRG,145.58
ASC,11.615
STI,3.085
FRT,100.59
GT,8.475
NI,42.28
HST,17.22
HRB,50.37
TECH,54.635
SLB,36.87
KIM,22.5
WOR,65.82
AIT,263.08
LIN,478.11
SPG,180.8
BG,84.22
EQR,66.15
NAVI,13.72
KHC,27.98
KEY,19.38
NOV,13.3
LUMN,4.965
VRSN,273.145
BBWI,29.215
COTY,4.27
UIS,3.9
IVZ,21.9
INCY,84.62
GM,58.62
VNO,38.045
WBA,12.01
PYPL,70.2
BAX,24.71
USB,48.88
CNC,29.04
FCPT,25.87
MMI,32.64
KMI,26.98
DVA,137.7
GTE,4.09
FIS,69.825
NEM,74.41
OGN,9.41
WELL,168.32
TRMB,80.83
ESS,270.26
NVDA,174.215
UDR,39.58
URBN,67.065
RRC,34.255
HOG,29.13
META,738.21
UCL,3.34
MGM,39.7
STLD,130.89
LEG,9.62
WY,25.88
PANW,190.46
DDOG,136.74
XRX,3.98
BAC,50.765
REG,72.52
RHI,37.32
IRM,92.24
AAL,13.89
AMD,162.69
SMCI,41.545
NUE,148.73
ANF,93.535
ALB,84.88
O,58.78
CSGP,89.49
PCH,42.05
PPL,36.48
MAR,267.82
FL,24.76
ARE,82.42
WEN,10.62
CSR,59.35
PAC,241.41
TDG,1400.0
THC,184.31
FLR,41.025
HBAN,17.83
SE,186.515
PFE,24.76
MO,67.23
KEYS,163.43
FCX,44.42
FTNT,78.79
MPC,179.63
TSLA,333.86
VRSK,268.07
FRO,20.91
HI,25.35
CBRE,162.1
BUD,62.68
AL,60.165
TRIP,17.415
CPRI,20.6
ALLE,169.83
ENPH,37.72
SB,4.235
