symbol,qty,market_value
PSX,1.899226395,253.698662
PTC,1.18,251.93
PYPL,3.59,251.9821
QRVO,7.568965716,686.50519
REG,9.478821788,687.21458
RF,9.186500813,251.618257
RHI,20.0,746.4
RIG,82.618464819,250.333948
RRC,19.991728232,685.116527
S,37.066818873,699.080204
SB,59.853691572,254.378189
SBAC,1.227232167,251.398509
SE,3.663615392,683.410815
SLB,6.834524881,251.783897
SLG,12.07791045,687.112326
SLM,8.048435611,251.755066
SMCI,16.409160887,681.636543
SNA,0.776240058,252.464316
SPG,1.404353013,253.710415
SRE,8.246211085,680.807187
STLD,1.91,250.0572
STT,5.967567984,686.091291
SUN,4.837864784,253.020328
SYF,3.297195778,251.707926
TDC,11.953309804,250.78044
TDG,0.491078789,686.960296
TECH,12.532436755,684.64702
TEX,5.012143187,250.306431
TFC,14.598205406,683.487977
THC,3.770006615,694.925319
TMC,129.576655231,694.530872
TRIP,14.516373137,252.87522
TRMB,3.116909164,251.908599
TSLA,0.75,250.4025
TX,7.621721505,252.736285
UDR,17.378991814,687.686706
UIS,64.758475517,253.205639
URBN,3.714480713,249.167366
USB,14.011815069,684.19693
VICI,7.46,251.9988
VNO,6.62,251.7586
VNT,5.871168193,251.931827
VRSK,2.567015271,688.268134
VRSN,2.524444843,690.107487
VTR,3.71,252.5768
WDAY,1.097125087,253.238413
WDC,3.132111245,251.633817
WELL,4.096550664,689.367546
WEN,24.187646762,256.630932
WOR,3.808866701,250.623429
WU,79.376923326,688.197925
WY,9.76,252.4912
XRAY,17.796048339,254.483491
XRX,174.86403511,695.95886
