,equity
2018-03-31,1.0156860511256276
2018-06-30,1.0780338026305074
2018-09-30,1.140939922401965
2018-12-31,0.9341238708865588
2019-03-31,1.086537318972918
2019-06-30,1.1121376581657036
2019-09-30,1.1203470332071448
2019-12-31,1.2341102049154375
2020-03-31,0.8892100919285175
2020-06-30,1.1382815596409894
2020-09-30,1.2528864910768789
2020-12-31,1.5520458400983392
2021-03-31,1.7770367887162277
2021-06-30,1.9084465891627365
2021-09-30,1.8957988217342185
2021-12-31,2.03331772924768
2022-03-31,2.0014701101867285
2022-06-30,1.6256248944561231
2022-09-30,1.5505428346738883
2022-12-31,1.7632967298681976
2023-03-31,1.7913993335801508
2023-06-30,1.8243625198788305
2023-09-30,1.7756014126370048
2023-12-31,2.016807876966768
2024-03-31,2.1721973493199522
2024-06-30,2.141985447631024
2024-09-30,2.3715104495661357
2024-12-31,2.3688619572788614
2025-03-31,2.390624961360935
2025-06-30,2.4575213878086037
