,0
0,1250374.475260023
1,1262333.7731713972
2,1259120.8372806632
3,1262909.5919376162
4,1259754.8567186163
5,1261616.2696024901
6,1267419.611506876
7,1258387.0170581832
8,1261892.1835397612
9,1239069.7059339704
10,1242661.313668625
11,1238676.1383199182
12,1244167.7979977438
13,1239459.7083340145
14,1252575.7489759058
15,1278759.1808786031
16,1288425.6747261824
17,1289484.986054336
18,1277107.307562372
19,1262312.0983282197
20,1264525.9822556174
21,1258834.880952865
22,1279608.6827973644
23,1281741.921464902
24,1286954.3999729925
25,1275676.2727480368
26,1286605.937853828
27,1291450.8351330045
28,1305136.3317846274
29,1315497.2505329999
30,1325063.8978190806
31,1328631.0584817375
32,1333335.2339007019
33,1345321.4663791694
34,1344684.7176879728
35,1350855.8745726312
36,1348848.1735638909
37,1352785.4755354056
38,1354785.6309079332
39,1383731.2438226342
40,1371958.3817606524
41,1372749.3703390073
42,1365266.5913944584
43,1364679.1666359147
44,1363558.2965405495
45,1361620.2402415297
46,1355260.999238235
47,1354928.5752404055
48,1354850.5468724712
49,1357975.8569959449
50,1355241.2807019055
51,1357289.6254681172
52,1353705.973110033
53,1329736.8042578273
54,1329895.3372195384
55,1331141.5480408645
56,1325896.3792012052
57,1326112.718385929
58,1336154.7701146689
59,1336591.8819263948
60,1340042.382753418
61,1332782.2291139197
62,1330843.0661332768
