,0
0,1338233.7196536912
1,1325387.8431219074
2,1331297.6133242922
3,1335911.5551762017
4,1336980.428057136
5,1349327.6207511998
6,1345206.7575426018
7,1354807.7252512176
8,1353284.958146174
9,1349592.2833401628
10,1357459.8583194166
11,1355643.2153125
12,1356977.3504462142
13,1358091.5887855305
14,1373125.9106495923
15,1383602.501145932
16,1392385.0199667434
17,1390992.644001812
18,1390766.761072763
19,1391146.986001342
20,1393002.6475560633
21,1393574.0463386353
22,1393360.7674449873
23,1394069.7831363128
24,1391506.3346585971
25,1387454.8520019113
26,1380429.9377763653
27,1381653.42985611
28,1390858.8206129458
29,1391836.8450885154
30,1395653.8052670725
31,1379756.8457842572
32,1377757.2919068905
33,1379484.4017804393
34,1391308.129323653
35,1384697.825134926
36,1380193.5514145505
37,1380996.5043413595
38,1379881.2278539455
39,1387355.8029140842
40,1390858.01970162
41,1393325.590799887
42,1392253.2231633554
43,1376772.1023100181
44,1374101.8621473883
45,1379469.5003119758
46,1382658.5505865475
47,1396586.5842398007
48,1398698.0347235848
49,1400838.2563950482
50,1405741.9977840546
51,1413205.770946439
52,1419214.809117683
53,1423890.3768944384
54,1429727.040108397
55,1425932.56530494
56,1427080.966543497
57,1420013.4281207016
58,1416078.9169909728
59,1420088.3898905963
60,1423809.8370202996
61,1423244.2314371886
62,1429226.5849508496
