,0
0,1114824.2664504736
1,1108015.1283962645
2,1115166.1803218995
3,1113857.949798734
4,1117540.3377427673
5,1121375.8360420228
6,1108207.655885924
7,1111244.6435232912
8,1106993.8497807195
9,1109124.6360846867
10,1103994.7031209308
11,1110562.6486351045
12,1108563.9531085396
13,1111917.9140042267
14,1115373.2913316144
15,1119968.629937342
16,1116689.5207547264
17,1119229.1620365
18,1119261.8883366978
19,1116227.9428943172
20,1120718.6846180928
21,1115266.019541272
22,1111432.4179891655
23,1104970.964368414
24,1099509.4176921148
25,1125396.648505716
26,1128535.172697318
27,1151000.5913872533
28,1160595.5549072186
29,1166360.5935280614
30,1187653.7868070446
31,1197326.558346861
32,1187502.5853641534
33,1195997.155836893
34,1194750.502534155
35,1200735.3035302681
36,1201733.7674068206
37,1202966.1024689237
38,1206312.5722957938
39,1209261.9125341552
40,1206792.5667732756
41,1209558.1677468244
42,1216656.359543356
43,1214981.4369991247
44,1229773.6276427214
45,1234806.489997515
46,1250622.0367971747
47,1259794.4045603315
48,1272739.982914366
49,1265572.9181721632
50,1273828.766493582
51,1267788.1948328253
52,1275873.9709411138
53,1270934.9620270457
54,1272335.6927415454
55,1280593.2700177517
56,1276469.9771649174
57,1272462.788921002
58,1272860.3892189108
59,1274160.50998632
60,1266063.3594820139
61,1264771.4169481583
62,1259858.1435141487
