,0
0,1596664.1085496626
1,1597386.5416084814
2,1600100.3415084071
3,1601076.1798246994
4,1602527.6334695967
5,1602333.5682107802
6,1599608.610468165
7,1602399.0738532967
8,1603420.966075819
9,1610516.3053378281
10,1622375.8410965563
11,1614267.2489966135
12,1616893.5600850675
13,1617104.003235717
14,1617838.8240793133
15,1609951.7400158267
16,1611580.2575437734
17,1637361.6654132921
18,1627511.6621071408
19,1636372.4738046962
20,1649789.2920035417
21,1664794.5442834161
22,1663673.1827119105
23,1652339.1935259814
24,1645432.661093474
25,1643071.0112743583
26,1663150.7989787327
27,1670476.0439783006
28,1669530.5919766582
29,1697144.9606909282
30,1698450.5823009268
31,1697569.2154155478
32,1689448.8881704363
33,1701111.0546910113
34,1703035.2334644154
35,1704707.5035890888
36,1695204.4314417883
37,1693144.9787475858
38,1702542.4329615058
39,1684796.5980242214
40,1688399.4285484403
41,1681735.8693714978
42,1668621.7815161885
43,1668831.9759042026
44,1693529.0593797928
45,1699498.2149321048
46,1711099.8760803198
47,1713736.418399988
48,1722752.8524458623
49,1731166.0809301664
50,1729068.4554103091
51,1711948.3660800697
52,1728525.309013982
53,1697692.6243614047
54,1695596.8701695648
55,1707383.9040660611
56,1697391.3920396059
57,1704202.9044401508
58,1715508.3364391578
59,1728901.6685039778
60,1718333.282376256
61,1716614.9505538235
62,1716614.9505538235
