,0
0,1590397.0560522305
1,1589724.017656278
2,1589622.5077969308
3,1589622.5077969308
4,1589622.5077969308
5,1589622.5077969308
6,1589622.5077969308
7,1589921.104624611
8,1589529.7715856775
9,1593617.7796313353
10,1593045.601692126
11,1592648.832815814
12,1592648.832815814
13,1592648.832815814
14,1592648.832815814
15,1592648.832815814
16,1592648.832815814
17,1592648.832815814
18,1592648.832815814
19,1592648.832815814
20,1592648.832815814
21,1592648.832815814
22,1592648.832815814
23,1592648.832815814
24,1592648.832815814
25,1592648.832815814
26,1592648.832815814
27,1592648.832815814
28,1592648.832815814
29,1592648.832815814
30,1592648.832815814
31,1592648.832815814
32,1592648.832815814
33,1592648.832815814
34,1592648.832815814
35,1592648.832815814
36,1592648.832815814
37,1592648.832815814
38,1592648.832815814
39,1592648.832815814
40,1592648.832815814
41,1592648.832815814
42,1592648.832815814
43,1592648.832815814
44,1592648.832815814
45,1592648.832815814
46,1592648.832815814
47,1592648.832815814
48,1592648.832815814
49,1592648.832815814
50,1592648.832815814
51,1592648.832815814
52,1592648.832815814
53,1592648.832815814
54,1592648.832815814
55,1592648.832815814
56,1592648.832815814
57,1596748.7273371287
58,1596664.1085496626
59,1596664.1085496626
60,1596664.1085496626
61,1596664.1085496626
62,1596664.1085496626
