,0
0,1538181.398628255
1,1549521.8915583058
2,1583214.0362699227
3,1581630.823600392
4,1581630.823600392
5,1581630.823600392
6,1581630.823600392
7,1581630.823600392
8,1581630.823600392
9,1581630.823600392
10,1581630.823600392
11,1581630.823600392
12,1581630.823600392
13,1581630.823600392
14,1581630.823600392
15,1581630.823600392
16,1581630.823600392
17,1581630.823600392
18,1581630.823600392
19,1581630.823600392
20,1581630.823600392
21,1581630.823600392
22,1581630.823600392
23,1581630.823600392
24,1581630.823600392
25,1581630.823600392
26,1581630.823600392
27,1581630.823600392
28,1581630.823600392
29,1581630.823600392
30,1581630.823600392
31,1581630.823600392
32,1581630.823600392
33,1581630.823600392
34,1581630.823600392
35,1581630.823600392
36,1581630.823600392
37,1581630.823600392
38,1581630.823600392
39,1581630.823600392
40,1581630.823600392
41,1581630.823600392
42,1581630.823600392
43,1581630.823600392
44,1581630.823600392
45,1581630.823600392
46,1581630.823600392
47,1581630.823600392
48,1581630.823600392
49,1581630.823600392
50,1581630.823600392
51,1578316.6057970002
52,1579603.132441153
53,1579408.5181117859
54,1556834.7220126577
55,1542812.463356244
56,1572095.2865079814
57,1554679.3598814495
58,1551787.5259348582
59,1564451.3549511014
60,1540705.0795134674
61,1568596.3373444935
62,1582315.1664948426
