,0
0,1660419.855537839
1,1657670.7906786085
2,1660441.7394871446
3,1663051.3957246128
4,1662429.6296936057
5,1662429.6296936057
6,1662429.6296936057
7,1662429.6296936057
8,1663382.397578375
9,1662328.7453100847
10,1661972.7862172173
11,1663711.3304878178
12,1660676.4760490768
13,1660035.9510537093
14,1660035.9510537093
15,1660035.9510537093
16,1660035.9510537093
17,1660035.9510537093
18,1658794.5888870903
19,1658622.828759665
20,1654462.814213929
21,1658153.261834662
22,1658795.9884000057
23,1658379.2371734818
24,1658379.2371734818
25,1658379.2371734818
26,1658379.2371734818
27,1658379.2371734818
28,1658379.2371734818
29,1658379.2371734818
30,1658379.2371734818
31,1658379.2371734818
32,1658379.2371734818
33,1658379.2371734818
34,1658379.2371734818
35,1658379.2371734818
36,1658379.2371734818
37,1658379.2371734818
38,1658379.2371734818
39,1658379.2371734818
40,1658379.2371734818
41,1658379.2371734818
42,1658379.2371734818
43,1658379.2371734818
44,1658379.2371734818
45,1658379.2371734818
46,1658379.2371734818
47,1658379.2371734818
48,1658379.2371734818
49,1658379.2371734818
50,1658379.2371734818
51,1658379.2371734818
52,1658379.2371734818
53,1658379.2371734818
54,1658379.2371734818
55,1658379.2371734818
56,1658379.2371734818
57,1658379.2371734818
58,1658379.2371734818
59,1658379.2371734818
60,1658379.2371734818
61,1658379.2371734818
62,1658379.2371734818
